Country,JSON
United States,"{'country': 'United States', 'noOfResults': 5, 'articles': [{'url': 'https://www.usnews.com/news/technology/articles/2023-11-28/crowdstrike-forecasts-strong-q4-revenue-on-resilient-cybersecurity-demand', 'source': 'www.usnews.com'}, {'url': 'https://www.usnews.com/news/technology/articles/2023-11-28/splunk-beats-quarterly-revenue-estimates-on-robust-cybersecurity-demand', 'source': 'www.usnews.com'}, {'url': 'https://www.csis.org/topics/cybersecurity', 'source': 'www.csis.org'}, {'url': 'https://www.cisa.gov/news-events/news/unlocking-tomorrows-cybersecurity-sneak-peek-readysetcyber', 'source': 'www.cisa.gov'}, {'url': 'https://www.ncsc.gov.uk/news/uk-develops-new-global-guidelines-ai-security', 'source': 'www.ncsc.gov.uk'}]}"
Netherlands,"{'country': 'Netherlands', 'noOfResults': 2, 'articles': [{'url': 'https://www.nomios.nl/en/news-blog/top-cybersecurity-companies-2024/', 'source': 'www.nomios.nl'}, {'url': 'https://thegfce.org/news/gc3b-research-workshop-28th-november-2023-the-intersection-between-cybersecurity-and-development-agendas/', 'source': 'thegfce.org'}]}"
Luxembourg,"{'country': 'Luxembourg', 'noOfResults': 0, 'articles': []}"
Norway,"{'country': 'Norway', 'noOfResults': 1, 'articles': [{'url': 'https://www.ncsc.gov.uk/news/uk-develops-new-global-guidelines-ai-security', 'source': 'www.ncsc.gov.uk'}]}"
Spain,"{'country': 'Spain', 'noOfResults': 3, 'articles': [{'url': 'https://www.theolivepress.es/spain-news/2023/11/27/british-cybersecurity-start-up-will-remain-in-malaga-with-plans-to-expand-as-city-becomes-new-tech-hub-in-spain/', 'source': 'www.theolivepress.es'}, {'url': 'https://www.euractiv.com/topics/cybersecurity/', 'source': 'www.euractiv.com'}, {'url': 'https://spanish-presidency.consilium.europa.eu/en/news/coreper-common-position-cybersecurity-law/', 'source': 'spanish-presidency.consilium.europa.eu'}]}"
Belgium,"{'country': 'Belgium', 'noOfResults': 1, 'articles': [{'url': 'https://safeonweb.be/en/news/centre-cybersecurity-belgium-launching-new-initiative-businesses-and-organisations-belgium', 'source': 'safeonweb.be'}]}"
Finland,"{'country': 'Finland', 'noOfResults': 4, 'articles': [{'url': 'https://www.trade.gov/country-commercial-guides/finland-information-and-communication-technologies', 'source': 'www.trade.gov'}, {'url': 'https://www.kyberturvallisuuskeskus.fi/en/news/national-cyber-security-centre-finlands-weekly-review-452023', 'source': 'www.kyberturvallisuuskeskus.fi'}, {'url': 'https://www.kyberturvallisuuskeskus.fi/en/news/national-cyber-security-centre-finlands-weekly-review-462023', 'source': 'www.kyberturvallisuuskeskus.fi'}, {'url': 'https://www.helsinkitimes.fi/finland/finland-news/domestic/24416-helsinki-hosts-prestigious-cyber-security-nordic-event.html', 'source': 'www.helsinkitimes.fi'}]}"
Greece,"{'country': 'Greece', 'noOfResults': 2, 'articles': [{'url': 'https://www.euronews.com/2023/11/09/the-enemy-is-false-information-world-leaders-and-businesses-take-on-cybersecurity-in-riyad', 'source': 'www.euronews.com'}, {'url': 'https://www.era.europa.eu/content/3rd-era-enisa-conference-cybersecurity-railways', 'source': 'www.era.europa.eu'}]}"
Iceland,"{'country': 'Iceland', 'noOfResults': 7, 'articles': [{'url': 'https://globalnews.ca/tag/cybersecurity/', 'source': 'globalnews.ca'}, {'url': 'https://www.iottechnews.com/categories/iot-applications/iot-security/', 'source': 'www.iottechnews.com'}, {'url': 'https://digitalisationworld.com/news/66567/more-than-half-admit-to-ignoring-cybersecurity-alerts-due-to-information-overload-at-work', 'source': 'digitalisationworld.com'}, {'url': 'https://www.telos.com/blog/2023/11/20/cybersecurity-news-in-review/', 'source': 'www.telos.com'}, {'url': 'https://www.salesforce.com/uk/news/stories/ai-cyber-attack-prevention/', 'source': 'www.salesforce.com'}, {'url': 'https://www.prnewswire.com/news-releases/five-cybersecurity-trends-to-expect-in-2024-301999168.html', 'source': 'www.prnewswire.com'}, {'url': 'https://www.nasdaq.com/articles/crowdstrike-forecasts-strong-q4-revenue-on-resilient-cybersecurity-demand', 'source': 'www.nasdaq.com'}]}"
Italy,"{'country': 'Italy', 'noOfResults': 2, 'articles': [{'url': 'https://www.itgovernance.co.uk/blog/list-of-data-breaches-and-cyber-attacks-in-2023', 'source': 'www.itgovernance.co.uk'}, {'url': 'https://www.ncsc.gov.uk/news/uk-develops-new-global-guidelines-ai-security', 'source': 'www.ncsc.gov.uk'}]}"
Portugal,"{'country': 'Portugal', 'noOfResults': 1, 'articles': [{'url': 'https://www.euronews.com/2023/11/09/the-enemy-is-false-information-world-leaders-and-businesses-take-on-cybersecurity-in-riyad', 'source': 'www.euronews.com'}]}"
Denmark,"{'country': 'Denmark', 'noOfResults': 0, 'articles': []}"
Mexico,"{'country': 'Mexico', 'noOfResults': 2, 'articles': [{'url': 'https://www.csis.org/topics/cybersecurity', 'source': 'www.csis.org'}, {'url': 'https://www.trade.gov/country-commercial-guides/mexico-safety-and-security', 'source': 'www.trade.gov'}]}"
Sweden,"{'country': 'Sweden', 'noOfResults': 2, 'articles': [{'url': 'https://ideon.se/cyber-security/', 'source': 'ideon.se'}, {'url': 'https://cybersecurity-centre.europa.eu/news/eccc-engages-security-research-event-brussels-24-25-october-2023-11-06_en', 'source': 'cybersecurity-centre.europa.eu'}]}"
Austria,"{'country': 'Austria', 'noOfResults': 0, 'articles': []}"
